fasttext-wiki-news-subwords-300,husband,wife,father,mother,son,daughter,brother,sister,uncle,aunt,niece,nephew,grandmother,grandfather,acquaintance,ally,associate,colleague,counterpart,fellow,neighbor,patriot,confidant,companion,partner,supporter,member,follower,emigrant,foreigner,intruder,settler,stranger,visitor,vagrant,opposition,rival,opponent,adversary,competitor,invader,occupier,arab,beggar,blacks,crippled,disabled,jew,mexican,unemployed,native,elderly,indian,woman,chinese,pauper,enemy,villain,crook,delinquent,murderer,robber,thief,deserter,traitor,convict,criminal,felon,offender,scoundrel,animal,ape,bird,elephant,chicken,cow,dog,fish,pig,shark,bear,snake,monkey,lion,nature,forest,lake,mountain,ocean,reef,river,tree,sea,beach,island,coast,earth,planet
care,0.38397226,0.36983207,0.40103963,0.46736318,0.36289394,0.3472395,0.35827187,0.3803602,0.34135845,0.35672528,0.3100369,0.29373196,0.41398156,0.35759798,0.30856374,0.27809712,0.40862143,0.34096014,0.35993832,0.34275797,0.30276114,0.32426757,0.33785826,0.45938274,0.37915033,0.3673796,0.3122807,0.35761505,0.2942606,0.30868015,0.27065808,0.25661165,0.37445492,0.42149642,0.27100638,0.37907064,0.28744695,0.30283564,0.29679698,0.28077632,0.27279097,0.27079335,0.19035134,0.325005,0.31456107,0.29159993,0.35125613,0.024833255,0.21067347,0.27752352,0.35045725,0.43728355,0.2928156,0.36780912,0.33605838,0.34867132,0.33282533,0.28487235,0.2995923,0.29741755,0.23650934,0.18822661,0.25964138,0.29725447,0.26851323,0.33383492,0.39422196,0.21103725,0.38356882,0.26811433,0.4662285,0.31688148,0.37255394,0.33348495,0.32937032,0.28704533,0.43876007,0.3709016,0.25877973,0.29810467,0.47049484,0.3381476,0.32764962,0.34730005,0.5182986,0.3932729,0.30273798,0.3422517,0.3055636,0.2983479,0.26356617,0.388481,0.32570612,0.34743258,0.31034905,0.28615123,0.34863737,0.3622718
cares,0.36797786,0.37068427,0.36093262,0.40337563,0.31954157,0.31279263,0.33571258,0.32769468,0.29896918,0.29454374,0.2977978,0.2722332,0.34149003,0.29428926,0.29890817,0.2513626,0.3383074,0.31389078,0.3385139,0.33434236,0.34152615,0.3214237,0.36580554,0.38890088,0.31151727,0.3441088,0.31529614,0.32053778,0.27745852,0.358643,0.24522738,0.21388884,0.3811673,0.38709438,0.29768258,0.33838034,0.31349456,0.29435614,0.2976245,0.31644207,0.2571249,0.3006168,0.22827733,0.3254131,0.3309883,0.2696383,0.2827043,0.11103095,0.18235183,0.29752782,0.33035368,0.3430653,0.25174314,0.36100405,0.319459,0.3589689,0.3336841,0.3220192,0.28999585,0.2711393,0.25402907,0.19851305,0.25553018,0.27364385,0.30304128,0.27283087,0.33717644,0.2308625,0.29540735,0.2963152,0.37278393,0.2699032,0.36010402,0.27585495,0.27382627,0.26634696,0.3830209,0.28934848,0.26773733,0.22357136,0.40609813,0.2881217,0.32309192,0.30589128,0.4528649,0.32283157,0.22339427,0.26236144,0.24312855,0.2500574,0.21778102,0.33328125,0.27695107,0.26710415,0.29948848,0.25896302,0.3159387,0.35306516
cared,0.3663037,0.3423161,0.40340504,0.4363316,0.3303733,0.31553477,0.37592366,0.35650325,0.32694867,0.3131713,0.29434854,0.28010136,0.39615157,0.33659902,0.25682628,0.28105658,0.32302466,0.31783184,0.30137873,0.3456239,0.3232085,0.30604008,0.36641353,0.3615062,0.30136502,0.33771586,0.2895882,0.27546567,0.24142057,0.3354192,0.252531,0.19832638,0.36853907,0.3428185,0.2551342,0.31848493,0.24939021,0.25771108,0.2568617,0.2487842,0.23760545,0.289611,0.16925105,0.29648706,0.3551038,0.35856882,0.38879275,0.10020237,0.16730188,0.32768226,0.33586216,0.39576414,0.2476333,0.36835167,0.30179834,0.34475535,0.27030298,0.25865605,0.24369755,0.25347793,0.2313145,0.1498048,0.22394006,0.27601537,0.28544384,0.27521357,0.26852214,0.19214699,0.2614127,0.26850352,0.3629018,0.23964284,0.30817056,0.2862796,0.28070334,0.2572087,0.36183983,0.28739706,0.23904255,0.2209213,0.3869099,0.25791073,0.2683279,0.26776615,0.3743512,0.2864585,0.22188357,0.22929211,0.22159316,0.20959127,0.20414862,0.27506325,0.23295961,0.2879329,0.27719343,0.30026066,0.2842803,0.31572738
caring,0.3840913,0.3839538,0.44092777,0.48682848,0.35010654,0.3513206,0.38818356,0.40021265,0.36152685,0.35085654,0.31619817,0.29823732,0.4472524,0.37434232,0.31679815,0.34935632,0.39533764,0.4029448,0.34969035,0.4531177,0.4038312,0.337564,0.4133025,0.454956,0.41146412,0.38680595,0.35545263,0.35314146,0.28199023,0.35490683,0.26990885,0.27196336,0.4729744,0.35004774,0.332806,0.38031834,0.27062225,0.30092812,0.34188598,0.29751933,0.2612608,0.31917223,0.24558556,0.34167543,0.30151194,0.35384774,0.42567796,0.14894485,0.2127428,0.360623,0.350604,0.49082857,0.29695258,0.4263557,0.3312528,0.33736202,0.37245908,0.3184774,0.28998685,0.3345769,0.30424553,0.20844772,0.29322484,0.28035006,0.31223154,0.30008724,0.37110493,0.21661952,0.32865214,0.2886621,0.43887976,0.26944834,0.31001723,0.30174613,0.33773443,0.28787047,0.3771023,0.33396822,0.29244795,0.31507,0.37605125,0.32355508,0.3212283,0.33398333,0.4928746,0.34923834,0.24381603,0.284855,0.2884965,0.2892885,0.22517683,0.3169272,0.31934786,0.30731514,0.2700389,0.27093914,0.34889114,0.32594812
help,0.3521396,0.3261204,0.38219374,0.38430014,0.3255423,0.31214246,0.37120023,0.34682178,0.36583558,0.33971518,0.2918042,0.30975586,0.35068095,0.31413922,0.3410726,0.41662434,0.47277716,0.3919634,0.33310902,0.4335044,0.31236184,0.23933494,0.33949977,0.37426674,0.41775525,0.38013563,0.35555503,0.3288595,0.29751837,0.28685033,0.3386283,0.23342378,0.39133108,0.36959076,0.22089261,0.3571784,0.302365,0.30846968,0.35112628,0.29249534,0.35295126,0.3016659,0.22236851,0.3222689,0.30911452,0.36274034,0.36983803,0.013960115,0.20804965,0.38042828,0.28388605,0.36601546,0.27791342,0.28819993,0.31523633,0.22145633,0.33026478,0.29555795,0.25393352,0.24503398,0.25468016,0.23398986,0.2707847,0.22478439,0.25220224,0.37851647,0.279223,0.16736507,0.3448629,0.23463328,0.29222712,0.30110434,0.2551858,0.25668466,0.2610858,0.23054065,0.29822788,0.32326362,0.17400405,0.29412118,0.43230733,0.27323592,0.28111273,0.25688672,0.33241296,0.32706988,0.24156797,0.2963633,0.22009917,0.22948787,0.2723842,0.27899334,0.2902613,0.28191718,0.25384754,0.31489828,0.25542352,0.27413237
helps,0.29263034,0.2875791,0.32879683,0.34122923,0.27754936,0.2862634,0.32841125,0.31877097,0.29500496,0.2660823,0.25783926,0.25916463,0.30600673,0.29723826,0.28720683,0.37686178,0.44452414,0.3505786,0.34191078,0.43776375,0.26403147,0.22335443,0.32026875,0.346967,0.42067572,0.3641478,0.3420534,0.33609998,0.27359292,0.2738965,0.28080127,0.25010967,0.3264875,0.32196945,0.23201294,0.30573234,0.2740185,0.3111229,0.33088386,0.2970018,0.32065645,0.29085773,0.21036352,0.33287057,0.3076311,0.37532133,0.37860602,0.05371112,0.20635116,0.3228973,0.2739834,0.33648545,0.24747811,0.2851871,0.28187993,0.21397588,0.2906543,0.31428373,0.2653927,0.22897415,0.28252622,0.25898126,0.27566746,0.2399553,0.26743802,0.3869547,0.2642262,0.21430758,0.3289477,0.21878178,0.26854813,0.26821896,0.27036393,0.24646838,0.2615597,0.25486994,0.3010262,0.28196454,0.19889,0.26361328,0.3509545,0.26097053,0.27402657,0.2041262,0.32262602,0.311493,0.20250656,0.2587483,0.16835058,0.21224654,0.26085252,0.29545158,0.21194439,0.24607916,0.21520816,0.26320097,0.22878757,0.28550398
helping,0.322379,0.32182315,0.3614907,0.36471748,0.29002362,0.2960412,0.32695642,0.3229304,0.2871371,0.25415924,0.26037404,0.26754928,0.3221314,0.29166865,0.2557276,0.4318745,0.43731812,0.36301285,0.30525944,0.42836866,0.31455535,0.25241175,0.28461727,0.3226734,0.4130014,0.38110906,0.34379324,0.3019826,0.28336012,0.26578504,0.28437144,0.22509435,0.31102502,0.28937215,0.21841781,0.34922397,0.32776555,0.31212106,0.3282128,0.3134788,0.30972826,0.27619395,0.22332796,0.29665506,0.3268551,0.35029644,0.40759158,0.04168172,0.20000432,0.39994478,0.27756622,0.40626472,0.2701498,0.30827853,0.2779853,0.21949498,0.329323,0.30927166,0.25916392,0.308742,0.27064416,0.23551373,0.2790785,0.21280782,0.26116857,0.35882366,0.28139353,0.20235544,0.29768142,0.21704915,0.26565853,0.24856102,0.24987294,0.21685345,0.27512705,0.22243819,0.28886595,0.26001477,0.17600149,0.23634167,0.29888853,0.2344499,0.24239509,0.2124647,0.3226113,0.30580106,0.19632448,0.26396048,0.20589374,0.21067953,0.2591567,0.24783622,0.251199,0.29170766,0.23280491,0.34709272,0.28094444,0.31096244
helped,0.3060492,0.2928489,0.34195566,0.3367778,0.3037753,0.29860672,0.33841679,0.3049844,0.29064548,0.2455962,0.2470583,0.2628729,0.30309346,0.30324537,0.26490498,0.36132598,0.41514453,0.3427926,0.26359618,0.43645835,0.23669656,0.20725831,0.27013004,0.28729087,0.3542606,0.35643294,0.31971905,0.29538485,0.284588,0.23710556,0.27075276,0.22934449,0.27127957,0.2741914,0.17469142,0.32973412,0.26064903,0.2710666,0.26668134,0.2504201,0.29023272,0.2576816,0.1793092,0.2934434,0.3480653,0.4770849,0.41956666,0.008715198,0.16985577,0.37695992,0.2651006,0.3083822,0.24241254,0.27458528,0.2548133,0.16565563,0.23366189,0.22401218,0.19688027,0.21343324,0.21262811,0.20531586,0.2028081,0.19207259,0.21038532,0.37796003,0.2031113,0.17587899,0.26465324,0.1807321,0.21068618,0.2392324,0.19974422,0.21518594,0.2486831,0.22348976,0.2619196,0.24899669,0.1611182,0.2269348,0.3441815,0.22412704,0.21669057,0.1809926,0.27434233,0.24961512,0.1742892,0.2389077,0.14210089,0.1775881,0.24141265,0.21372117,0.19742836,0.250192,0.2391753,0.3119767,0.22066703,0.23393495
donate,0.2862132,0.27802047,0.2738684,0.29456708,0.23699845,0.26514843,0.29013637,0.295845,0.24653281,0.23880836,0.24985093,0.23894306,0.2872986,0.26354706,0.2412589,0.25901234,0.37653375,0.25949338,0.20929635,0.28287834,0.2520231,0.19392382,0.17111868,0.23849328,0.34281614,0.3672832,0.32335785,0.25796735,0.23823363,0.20140058,0.15573746,0.17943794,0.2595505,0.26768678,0.1270477,0.2040469,0.19788995,0.23556367,0.16081606,0.22987178,0.2199619,0.250877,0.20242324,0.30604374,0.22224735,0.29761472,0.29432973,0.07705873,0.16414687,0.260439,0.2274466,0.2516296,0.23661734,0.271866,0.2694206,0.27973598,0.16842906,0.17092967,0.19803758,0.17739502,0.14830062,0.18044604,0.18987486,0.15500112,0.17832622,0.256301,0.16290855,0.16173501,0.22986583,0.14611857,0.26966625,0.20088692,0.21318746,0.2308604,0.3317998,0.31376585,0.26307264,0.30435717,0.26074183,0.24468859,0.34122145,0.22906423,0.26921555,0.2444353,0.2682453,0.24757479,0.22631298,0.25537944,0.17398748,0.17439477,0.2300314,0.2456639,0.20840245,0.24775146,0.19411252,0.208733,0.26207843,0.23898743
donates,0.30831754,0.31384787,0.30446807,0.33029595,0.28867638,0.30591372,0.2894621,0.29507783,0.24898511,0.23575465,0.27322745,0.26971063,0.312435,0.27371058,0.23183264,0.27303597,0.31346008,0.26950562,0.25771964,0.29398683,0.26256037,0.21410958,0.21957842,0.28235742,0.36950514,0.41484755,0.3783096,0.32793272,0.2775817,0.21655108,0.18240176,0.23133788,0.26221445,0.30797166,0.20532988,0.2147741,0.21998417,0.2796021,0.19988637,0.2773629,0.24297357,0.25073776,0.21330926,0.33204377,0.2328258,0.30886972,0.30201057,0.13065843,0.16492862,0.25717807,0.2654796,0.26259315,0.25194618,0.2969963,0.27183124,0.29838976,0.21539162,0.21894272,0.218531,0.20385294,0.17275944,0.23524325,0.23550145,0.18294704,0.22037952,0.21929343,0.17791034,0.2014601,0.24031942,0.14895496,0.30414227,0.18466334,0.27653965,0.27750856,0.31587815,0.30383593,0.30081803,0.26623818,0.2763437,0.25637034,0.26537538,0.24646592,0.29637867,0.28870496,0.25715312,0.25185478,0.18531191,0.23099698,0.15122275,0.19504243,0.20127681,0.28356346,0.18094985,0.21507405,0.20120671,0.15369008,0.23535101,0.25915226
