eng-all_sgns,husband,wife,father,mother,son,daughter,brother,sister,uncle,aunt,niece,nephew,grandmother,grandfather,acquaintance,ally,associate,colleague,confidant,companion,counterpart,fellow,follower,member,neighbour,partner,patriot,supporter,arab,beggar,blacks,chinese,crippled,disabled,elderly,indian,jew,mexican,native,pauper,unemployed,woman,adversary,competitor,emigrant,foreigner,intruder,invader,occupier,opponent,opposition,rival,settler,stranger,visitor,vagrant,convict,criminal,crook,delinquent,deserter,enemy,felon,murderer,offender,robber,scoundrel,thief,traitor,villain,animal,ape,bear,bird,chicken,cow,dog,elephant,fish,lion,monkey,pig,shark,snake,beach,coast,earth,forest,island,lake,mountain,nature,ocean,planet,reef,river,sea,tree
1830,0.15479629757960392,0.12475767359434876,0.11208851334565159,0.1000869443593712,0.06884412021261654,0.0643483514483434,0.11036134188038106,0.06898299709444095,0.08766579896715967,0.11977453882159836,0.1555112384652344,0.1075903557657554,0.09711731787647025,0.06054214479979945,0.024869347389538155,0.1797396352097208,0.07013282168837523,0.18403486073976136,0.13218748258648258,0.1748979791966703,-0.04578035995267496,0.21388685012063974,0.0818033937317589,0.04809446349855895,0.2134010202837489,0.13109302206822337,0.08433919615938966,0.12921188975892298,-0.12855108424814501,-0.025635959641656852,-0.00834782420040976,-0.05737448735581527,0.09745793726292214,0.1999482164953386,0.03470943471545982,-0.042305251173532885,-0.011390240520396003,-0.0578889465257497,-0.05267914802154755,0.14283037116306935,0.11702769880516783,0.03730786102817086,0.15175009420651714,0.0020649061639744404,0.10664180189464435,-0.040818640211980575,0.030408696938134274,-0.05717639961429984,0.06613620797179987,0.011053292423280403,0.05833237038169176,0.017527515745612343,0.01690815924486159,0.11621119973003384,-0.020208406013900084,-0.04818091729245433,0.040864533278813626,0.10509152361796562,0.052197427092719115,0.16797908068169687,0.0025155125149370007,-0.04263413370446561,-0.0021527177565205703,-0.015818018160798645,0.11019569338572661,-0.055787886411448,-0.06245128680114668,-0.07589469254856436,-0.02079785707387931,-0.07042032671364934,0.04057876747721522,-0.037785865745811074,0.06195131619555245,-0.08841996734311788,-0.02935748417372053,-0.053137269204425505,-0.021557282900501025,-0.035417487921645056,-0.09553586348750001,-0.06019261430196645,0.017863277879633776,-0.04442877499477766,-0.15081635014291467,-0.14653523260244028,-0.14304298080760205,-0.1703680708380404,-0.07383285267101782,-0.12004214571727534,-0.15180958977278589,-0.16071125399707298,-0.2231614791176059,0.11744668104200873,-0.12318829065281264,-0.07732434890228855,-0.10821767121710875,-0.20527194848448713,-0.14627733376919372,-0.09061464395042688
1840,0.20225488592226354,0.16693457876592582,0.06958760021978885,0.130663863482958,0.02007781660305134,0.06945682320588023,0.09486849157281331,0.08433111306655175,0.08596786395084156,0.1250689016571339,0.10277387169107385,0.11362263686581295,0.022062359991004036,-0.02588285277130991,0.02190690911173738,0.22424138574918415,0.05952137108129263,0.16187673228072968,0.23511250158676322,0.07931604527675305,-0.02190972058066856,0.2625606393785563,0.0366874453629644,0.047694319083128295,0.2575784666201967,0.19586763198182977,0.02142204480829113,0.16493290392380983,-0.06623094623179286,0.016761415768694787,0.01832835998349203,-0.04247165338375314,0.10544933297009698,0.13841205817711655,-0.001819111735618472,-0.004991810740663689,-0.059548710592210716,-0.10211035148509286,-0.0750992435923768,0.14714287620991606,0.13785688223701584,0.08310035536524206,0.08517816378170183,0.12440600143768567,0.07541630812281444,0.015609547157821828,0.054592078857118934,-0.0604915954916305,0.01858994262553617,0.007782026352339936,0.05346870410852955,0.029094295147943244,-0.04675657844350297,0.017291891138281796,0.01983387887975789,0.0013621134384255978,0.11201473234853508,0.02575310534513423,0.04366223461006374,0.1439868825631236,-0.036135749400177726,0.017099716533759277,-0.012057319431245763,0.013628909386171261,0.07117082118929931,-0.0357155058270689,0.042245969158307806,-0.062148191438315376,-0.005387648240774231,0.04205206345123292,0.0585248505631905,0.001798845805520197,0.10473380599518184,-0.09475604147869594,-0.028044030331516773,-0.0658769624989539,-0.04762997251520264,-0.10049032142009526,-0.13230533250309293,-0.09318295120507664,-0.02998531654830686,-0.06348837571106655,-0.20811124135394157,-0.11952385001633709,-0.1965818322374104,-0.20371133728331725,-0.05544767263266896,-0.16895761765023182,-0.14725591365535484,-0.2029488672667657,-0.1335322781933978,0.17311251930643498,-0.14812952596265253,-0.10323064957665115,-0.189616989635214,-0.2419496882187195,-0.14534367837639678,-0.07044066058669136
1850,0.21882230882695441,0.18137662921404551,0.1350069537252172,0.2280724238339518,0.02623058657338079,0.09356437271462444,0.187784763409864,0.1428103234494117,0.07660220665753437,0.15394101820243863,0.16348413277007592,0.10667217530217632,0.15242719173820157,0.10126711335779982,-0.005082162405070385,0.20591143814780075,0.14420475662414362,0.22016420763192135,0.18264135931700243,0.11594317199361324,0.0019795323865790496,0.1889267287949568,0.07136168738183074,0.0751632568054501,0.24910687931119793,0.23173961588678837,0.027909223476489116,0.17915862053314005,-0.09179585552572342,-0.004675026083912483,0.03334173105327304,-0.05481046112305525,0.08878598532045112,0.1684961121901071,0.016747557527750385,-0.05031953382114594,-0.006682635630707881,-0.04682863221917913,-0.012458038836161754,0.16105893363310844,0.040727716856151834,0.12458388160234576,0.13645064542802582,0.09883711647057362,0.058260678144974404,0.03750325304475228,0.0007432327969123414,-0.01569544886753553,0.043069519760716955,0.08050538890216236,0.09861444859931394,-0.0032084126975572844,-0.026474186352085823,0.10484179498007187,0.005380274054283716,0.008150405306482577,0.11106696444773487,0.1913042088404443,0.06098969024369775,0.11128213409688839,0.04418549164286551,-0.07932091443972798,0.006590261513639429,0.03845923313108519,0.05000863025869135,-0.03778123868940067,0.04978695245107381,-0.04000933267913771,0.10891505629728104,-0.023030725069326942,-0.008137605000188702,0.005053057278427725,0.056307250960223376,-0.04266571331836368,-0.015258993985350577,-0.05608029136975584,-0.033679830368054296,-0.050338295113740335,-0.13896152898265884,-0.0620393305962897,0.005641535167042196,-0.05025150213058423,-0.1281972948994281,-0.19296014700883612,-0.17833152613301184,-0.17636741517757723,-0.0608298733706364,-0.14834637754129665,-0.13226855114367933,-0.19999574561428834,-0.14238235313264302,0.10270964644410684,-0.151268071880512,-0.14776832353017993,-0.11005646088544344,-0.255847462328201,-0.18069501090137274,-0.09631730217191319
1860,0.11782697237733705,0.1699607135391912,0.16310716385258328,0.14623453435995842,0.08728586581696407,0.11012593710617,0.09123429046968566,0.10708518736730388,0.06367900076012611,0.14197333944903842,0.13348906209680328,0.1352442365682187,0.11796941079592364,0.0641444059011666,0.027080384419139444,0.19981687287199643,0.0540977144840294,0.2308091325927502,0.2574986155516178,0.030374579086729768,-0.038787840058110305,0.12172086065454911,0.1111080324393279,0.09197637106087575,0.2537613873190528,0.18140030496281292,0.1258466715089206,0.14656329923732211,-0.08530653324509517,0.06113234659607967,0.04182162328260058,-0.06990077739828075,0.14486287988453347,0.14384530089032727,0.05603767991451665,-0.04261531281126038,-0.04938525631215399,0.002989190694993753,-0.04526497130788653,0.17228106009844749,0.13061983985043285,0.07048411600231543,0.051494341085997146,0.012757483439903163,0.05897479373632803,-0.021380766504426593,0.06509198779125103,-0.01848485531844629,0.015598381115993303,0.022359840356662827,0.020078074466527814,0.003939488982851189,-0.015335533847811661,0.05664632667803866,0.01158259334539762,0.04074698688728165,0.06513692170064006,0.14751706509015908,0.008930142945530694,0.1276067374097912,0.028857948721796086,-0.0015062441503223974,0.029499416993054167,-0.03719808628626733,0.013487102816899592,0.005713007279296191,-0.029482992518217573,-0.04681955005059863,0.03032794282735945,-0.005174309062519184,0.027614746785375746,-0.06956175324187219,0.10991487642314592,-0.18688298305510595,-0.06729962736981168,-0.055290767381405176,-0.036182803765311564,-0.10817899823988059,-0.13840268510256587,-0.09320878877838049,-0.044636367598799735,-0.023620836854141274,-0.16987663015087515,-0.19638379136175527,-0.14819803427871728,-0.20532956082034728,-0.09557285514707302,-0.1681712273859645,-0.14970271256192005,-0.17881858578260112,-0.1685484634089773,0.19832585392759844,-0.15455283520453353,-0.10850923410727677,-0.12078032501785249,-0.2170360809662744,-0.13604362168735723,-0.1093014150636857
1870,0.19522341129348572,0.1789349720346194,0.1029208542487412,0.15656002245716938,0.06812316789035706,0.07559849504283703,0.18536201979971428,0.092682862916911,0.13026731328191588,0.1254913229892454,0.14033313464907426,0.07792895410927989,0.043278627439417315,0.0072209527446718425,0.044099649026651616,0.207765709427935,0.1265408753694104,0.19252686173022132,0.1590948252547258,0.05107600179480917,0.034102806697037,0.17394856993436938,0.06338782384467809,0.09387711553273502,0.2398340019209632,0.16791708940655137,0.11200509350693327,0.10290066855895219,-0.10255985168299964,0.013005806987199785,0.09661915710818271,-0.08746889574773122,0.13457214722297378,0.13298890939943342,0.04318360207269209,-0.024598331696672002,-0.05280789755097173,-0.04963618687186295,0.026607828402182294,0.1562371103276698,0.13699627305519613,0.0725305255503628,0.07907998955670809,0.000588139508212056,0.12611456783606043,0.029535799535917933,0.04294462914475737,0.011598321427513401,0.049382010592312564,0.03563125588927405,0.0665623041044587,0.0019336560854034503,-0.03756555231766664,0.08045442550000108,-0.0077633940244574645,0.05087271657812044,0.09649268412762088,0.09106117704819915,-0.07442497715195745,0.13251910294402974,-0.01427927084472822,0.032158344478490315,0.02122160963398628,0.02179717334894628,0.05081536098585594,-0.066691524743336,0.0015800883989024385,-0.1271221302376259,0.02542013408645579,-0.006652729311750146,0.017038220530726747,-0.08130592382337004,0.08278322523803185,-0.12273727457222333,-0.10423830150534182,-0.05910976705635346,0.015461669112516542,-0.09247097848220444,-0.12134803858080838,-0.0834638460338489,-0.004815145805717456,-0.08111504666117939,-0.06102257791051904,-0.15339574899529052,-0.17327850558736915,-0.16044634679114325,-6.426043684098318e-05,-0.12343429097624067,-0.16652149113932826,-0.18572019933977504,-0.22424350395774154,0.16182626092111635,-0.12863381893965325,-0.10800461584645317,-0.11295202074097312,-0.22027148298224905,-0.16596601527461294,-0.09387732981392063
1880,0.2638710847650873,0.17752672853175627,0.23207767752178127,0.20107285466031977,0.07169626563584774,0.056007535762091644,0.19629450034177898,0.15941189868224825,0.16757049476972202,0.1124382737259761,0.10514857388410292,0.12944237867092453,0.11093271410906871,0.0729391304280257,0.026812284365446925,0.1752133254563504,0.07435418360298489,0.21879040357068216,0.18016860173266636,0.0586412551117528,-0.07165846277927855,0.17057903773069089,0.05602012393872975,0.02255762292802469,0.26670163371167,0.10411389564435318,0.12404241997071801,0.17443468644144652,-0.1558090386317121,0.0293218012566318,0.08978335716765319,-0.05696641579832536,0.1808920974537215,0.247797946842685,0.03726736388106311,-0.11219932301850928,-0.03395463003761274,-0.08699187118780372,-0.008860267827507658,0.1863839320509529,0.17933110494294938,0.11970822719165264,0.06729744174733981,-0.04849966092347337,0.09465790209776068,0.040634629124606185,0.02122611440099066,-0.019586994877589817,0.002541063083153799,0.026707774029796533,0.040893091990899945,-0.016690301957007873,-0.0023856371536516217,0.04439344837603204,-0.03847181927835293,0.026218958033556658,0.02842801187082275,0.132336250219057,-0.0398730227221427,0.19076531316337972,0.011431452346876128,-0.012152840736221464,0.0052536657282292705,0.043443502040361036,0.05463929517367612,-0.11919926498918497,-0.027966125987397946,-0.017534927981563874,0.0006359530574233455,0.004994723035134857,-0.041750473730891156,-0.1093119394033652,0.12879483598692554,-0.10656793286129812,-0.06124252134937968,-0.0797884654916223,0.003703850875872812,-0.05238501827367438,-0.13873989894518862,-0.04752518305516561,0.06521106735475407,-0.07560547686378181,-0.14636846637110454,-0.14607065042098769,-0.15858817193027872,-0.20901599224347944,-0.04765236577712651,-0.13201883643394094,-0.1325479903563955,-0.21453558941481454,-0.1645710123041021,0.16729115731852273,-0.1442350819103988,-0.10592497891971758,-0.09396926446782525,-0.26288974198444925,-0.15212487483023396,-0.0940906714348991
1890,0.30523755671241404,0.2395905569454967,0.17943919585052123,0.23158399471380875,0.12610135355180951,0.13309948008080244,0.1828760848547814,0.16242434882774726,0.10956981851145692,0.13948122951964384,0.1337243094424589,0.12048187521538632,0.0643151280992699,0.03175450638579142,0.04144787889074739,0.2108923842416224,0.09538293489343123,0.23093339631306897,0.14955803031912673,0.0903740047703833,-0.04096668783470459,0.18543940542765983,0.07599554599946627,0.10338332499247854,0.22270414600194569,0.17478162913521497,0.10332411459947835,0.14361070118283834,-0.09805656940027506,0.06876793265478318,-0.002682372861596728,-0.0701145372511965,0.05237900270850748,0.2178558195808588,0.14352389856285444,-0.09191657621311965,0.005587551814901057,-0.05586932609242218,0.019081962008704146,0.16791489631537512,0.1999423182463385,0.13024071665445686,0.06348382898281156,0.008913798920879198,-0.020037745467391215,0.0534145774932833,0.01809957854446658,-0.019600720211566953,0.017490462640029427,0.04648662592442981,0.060914817393086476,0.040600544101471715,0.00387108163686598,0.09031908600052371,-0.012817096078284232,0.015610567007100626,-0.008051175177880782,0.09675113970255046,0.01793304499692848,0.1883983772491445,-0.07910477428413439,0.034597048991972246,-0.02644805983062772,0.01642488239522983,0.05465646952885044,-0.062448874708279395,0.0222757133006875,-0.03157374352331347,0.023421880268299694,-0.004437285774848834,0.018375891859349795,-0.12742758558786937,0.09436307301854428,-0.06246589194927414,-0.012229484874487537,0.03353212169560516,-0.03350017785492471,-0.03713660124176588,-0.10770228282144952,-0.05149826192063315,0.0029184835783722394,-0.047955681422105274,-0.09384084354287911,-0.11442280425249164,-0.1890459455813323,-0.1353387613889678,0.039274158571601374,-0.16734656270615564,-0.1266581604997066,-0.23497395705523866,-0.12233804181996663,0.17575377883082732,-0.16318980482274922,-0.09912248799903883,-0.11869380820502223,-0.2384288157272604,-0.12943626471964031,-0.07853996793308846
1900,0.2458683052666409,0.2620761542160449,0.14491822595561954,0.2198788876418812,0.11722833901640545,0.08696508504330909,0.17812270577824,0.14887596174980983,0.09857296336597536,0.1313253296756817,0.13336331785604671,0.0886575614313497,0.10371443879359324,0.055344138794786904,0.014946517644263775,0.21465406599098277,0.1016611563588662,0.22738375977852035,0.17165195330012517,0.13343828031860888,-0.01696114195293509,0.13670216195856036,0.11133223075063808,0.04317880145586426,0.24248991449885993,0.12799723313013886,0.08240567037312022,0.11208932998734218,-0.13521926039724547,-0.005418986231411905,0.09551846390642205,-0.04781537509794964,0.1446571330061844,0.21808199139867393,0.08384813514867082,-0.03386748681270525,-0.011295238890522766,-0.04340020630692499,-0.01598614541756555,0.12513595219190587,0.19600967154776194,0.11317998047801357,0.09584458315450393,0.002789304548179082,0.042526423635281536,0.04044140484645363,-0.0007873297563223337,-0.005350590811496867,0.03772144092543941,0.08165574023293694,0.09435896152805322,0.04827857953119721,-0.0053052550220626625,0.08608515167938793,0.014958560610043681,0.009894369154798997,0.01810599829633485,0.14211258330381052,-0.03394704230147317,0.20633491785723992,-0.023795212036185086,0.0418815026524886,-0.020811992294474477,0.007187217687717357,0.07368148339991396,-0.06962584751074305,0.00026081291375654327,-0.0756500447982249,-0.013943267144391211,0.03990800323897976,0.0001722021009138093,-0.13554126305924405,0.1103210215942748,-0.0870495694299737,-0.08787152095625508,-0.03638743885818729,-0.05078254790827489,-0.08071683047921197,-0.13949455084181023,-0.06533644464433928,0.007525854688782871,-0.09497870439121361,-0.1333192437520337,-0.14647624875810367,-0.18980896779226783,-0.16617534165354766,-0.03426591920282003,-0.14229703138688862,-0.11336814543108188,-0.24565141155972953,-0.13343157560080635,0.1664856421406078,-0.15160029335683348,-0.05644587361358694,-0.09954873437360072,-0.23079193562688619,-0.1255580766640682,-0.07781681921836629
1910,0.23231453158131132,0.21791366894798464,0.23075939567916007,0.24595621008501398,0.05641721490820805,0.06806559162981365,0.14346585190313552,0.1595680070122611,0.0813366006633693,0.09853052790334259,0.045040487488917716,0.08095233069107236,0.12351090046007537,0.021169236306985657,0.029737836109091507,0.22983993072510486,0.1224402324496325,0.24729425355336265,0.0748002762000505,0.07395918750853239,-0.04575713342402997,0.16424815133759335,0.0819525107715097,0.08821592002493919,0.2082384577731299,0.13834328380078786,0.03757462718433472,0.12714546858574471,-0.11678931887015269,0.02078602584564959,0.046349615091967576,0.06333588161789809,0.15486844946548517,0.19437960619378983,0.01006755715583647,-0.01021444133920161,0.00826110204398454,0.0009270912512573795,-0.01497399672056553,0.1283668143837556,0.22795377410095966,0.0700956703822883,0.06409803810559196,-0.016814220145706212,-0.009661662821113748,0.10865780106493313,-0.031860025731090896,0.0340236743554233,0.10910974064785137,0.06431360215585519,0.044571216459437804,0.0590752887976951,0.025749941609005764,0.07222460794530347,-0.015256806274130202,-0.04482180692116498,0.04703843469274809,0.10019673919922914,-0.050704221562994145,0.23248402638573007,0.014767749544867662,0.09314860738592794,0.025308416614398404,0.04677238683948468,0.10666206251109873,-0.005576968501648803,-0.06291291144086927,-0.06308984411254222,0.0033447203034068828,-0.004416608557244988,0.004223428079813623,0.0035791188737663575,0.10063105373580082,-0.09009623587204675,-0.060569749613307765,0.035321177166164335,0.03096780366254117,-0.0394526056304053,-0.07786524546284918,-0.0464161075279368,-0.0010785216079527307,0.008192766385495551,-0.09315318187720005,-0.12896067173671805,-0.19533087057816287,-0.1859711213306389,0.005813874244833729,-0.1212397300884077,-0.13657917169661332,-0.16824208217179415,-0.17266772912752876,0.14279693053126388,-0.16079161141554787,-0.10452823608749232,-0.19923084368145902,-0.18884374830162168,-0.12509101872099046,-0.12272217620272187
1920,0.22298374497662682,0.22417182006869138,0.1608871304005927,0.1991826512711494,0.07567064140590134,0.12450824417966093,0.12142759488764648,0.16558716851738492,0.14214792387996808,0.10750090963937475,0.0811599348185879,0.11644305548349167,0.10385502923318815,0.04853303544086298,0.022784799165769296,0.19803243473264695,0.12421692499546651,0.13352247827617347,0.16688815766713874,0.0367969992775884,-0.01819700503849198,0.15901978992878454,-0.022435724496174064,0.06296844431623763,0.22838813278885192,0.1288141526247001,0.08604291774235848,0.05590525118745958,-0.04533555454864161,0.08463667611603543,0.061912272551328314,0.03073556333826343,0.16421477101567092,0.2407897127206405,0.07535210805870295,-0.019546694217771547,-0.013200510200146854,-0.0077845925614113305,-0.021086156820412545,0.08884140266771107,0.21679254152533758,0.13837529133393703,0.04644425723022451,0.0005360512363724152,0.029983260957080357,0.10626274204691666,0.04922770272243103,0.03899149167648348,0.08031001767884519,0.07242499949147824,0.024476098975752758,0.05176229259204325,-0.013220539109131174,0.013539403334697908,-0.04373602332799983,0.0008573848471968568,0.03404116404970275,0.16778207846038107,0.0659444602484412,0.1951743669430944,0.0059842164948517955,0.03974192043154684,0.017229239891036193,0.0666509221061237,0.15011225915549758,0.009303631612496857,-0.026375464330299685,0.022078920493695902,-0.01646628778737311,0.0378637763830606,0.018933322108856013,-0.09194670666876659,0.11456701125147956,-0.05221078634030708,-0.00893599666707495,-0.041419527148496456,0.01706997896763582,-0.048319708061406626,-0.04103390397219145,-0.08084161076561237,-0.035199301538742477,-0.04012084771261798,-0.11941705491908697,-0.12174416284894589,-0.2007892843048372,-0.18299872198556155,-0.014979158018370005,-0.12060907392525005,-0.20126866476042912,-0.2332679371641858,-0.13523967983339485,0.12414721915887901,-0.17689713220486064,-0.12965245142988266,-0.13907686245802978,-0.2646982887519604,-0.08864109917953648,-0.0927805435663365
