1880,care,cares,caring,cared,nurturing,nurture,nurtures,nurtured,help,helps,helping,helped,concern,concerns,concerned,concerning,empathy,empathetic,empathize,sympathy,sympathize,sympathetic,compassion,compassionate,uncaring,apathetic,apathy,unconcerned,unconcerning,indifference,indifferent,detached,detachment,neglectful,neglect,neglected,neglecting,unsympathetic,unempathetic,uncompassionate,disregard,disregarded,disregarding,ignore,ignores,ignoring,ignored
husband,0.14324127336001202,0.1302292129528074,0.03489361807346888,0.13464719510606263,NA,NA,NA,NA,0.10159332602180554,-0.04248800869833514,0.033840695724542784,0.10967268318853704,-0.001774983428431764,-0.06982431830186668,-0.01640382655227393,0.08229598024289031,NA,NA,NA,0.08929669993778562,0.08393099870577518,0.04681953859219709,0.09189680341503552,NA,NA,NA,NA,NA,NA,0.06410295201787823,0.09863034551785604,-0.08745797022470275,NA,NA,0.09626140311827941,0.09004483041971309,NA,NA,NA,NA,-0.06442008984778418,-0.11106349423004752,NA,-0.12458056849526218,NA,0.03177032391138941,0.0011916795868263655
wife,0.19584685890890663,0.06473076477752232,0.02545267873821865,0.19872169989469246,NA,NA,NA,NA,0.09599598434898653,-0.019174503947652865,0.0807346376321164,0.06634656180448298,-0.020952406576664306,-0.10497588293870103,-0.09128140155926594,-0.001886733777170924,NA,NA,NA,0.022642464950855062,0.038011203847163055,0.029482294264778823,0.06496981175051601,NA,NA,NA,NA,NA,NA,-0.0013057559421983044,0.03715188342244719,-0.1623570609577727,NA,NA,0.025249730535124387,0.04512402743243998,NA,NA,NA,NA,-0.10253590297298901,-0.15835225560854282,NA,-0.06796838205782797,NA,-0.027792333655713156,-0.05107364429612375
father,0.15472924593173898,0.0002516437285899203,-0.001379009788638432,0.09994284152948842,NA,NA,NA,NA,0.17942810793192138,-0.058180076183761247,0.04324558606426752,0.09100088302953095,-0.06644558223113141,-0.16694910429705084,-0.048901731454654276,0.023060645037354836,NA,NA,NA,0.04644840438887139,0.06208256402728221,0.018313894791896386,0.02958335782091081,NA,NA,NA,NA,NA,NA,-0.029673903044822838,-0.03955483472224333,-0.1731810432289966,NA,NA,0.0044718614237010896,0.021520009548727854,NA,NA,NA,NA,-0.14641482610137163,-0.19969014784909916,NA,-0.13866682057112295,NA,-0.03356595544964559,-0.07194330607773068
mother,0.2701760051199212,0.09984649167788313,0.05251201024116368,0.21349835469564551,NA,NA,NA,NA,0.2635531173467652,-0.04254218169773,0.13373432244432776,0.11775675543906161,-0.025049797596307703,-0.09763090854379045,-0.0863947663844194,-0.05952764418371259,NA,NA,NA,0.15863959256071655,0.10065085434102736,0.08351574580139091,0.06330313609555864,NA,NA,NA,NA,NA,NA,0.036830492552382646,0.009851701444807053,-0.2250891818519673,NA,NA,-0.010898413369735686,-0.008423722190731925,NA,NA,NA,NA,-0.1518074028242378,-0.23267933637681595,NA,-0.11776675158633906,NA,-0.037492773596857834,-0.07533652813176718
son,0.12993303329802655,0.041492530081561216,-0.01509938910026196,0.1066631029322489,NA,NA,NA,NA,0.06248208097731229,-0.009406725353602907,0.0849534889135469,0.0574007390921747,-0.0933936546252951,-0.11532688471723854,-0.010946068111923559,0.10545514680250329,NA,NA,NA,-0.005840472395435986,-0.01064176217881318,0.011239326987895936,0.01916332817465969,NA,NA,NA,NA,NA,NA,-0.1284438245884571,-0.07920493341763228,-0.18929646190781568,NA,NA,0.003153224152637985,-0.014977502838185346,NA,NA,NA,NA,-0.10758407628074619,-0.1509741667385522,NA,-0.0551490122381483,NA,0.01753442162933526,-0.07879793746991665
daughter,0.17279745535398813,0.08891982719545947,-0.01955976415735695,0.11059660508309842,NA,NA,NA,NA,-0.006986867906727344,-0.03439228247594159,0.06178270293722127,0.10674257234684886,-0.07697107957380252,-0.12654843523939435,-0.06372194665895274,0.03316660818702876,NA,NA,NA,0.007205941763611392,0.07667514579247138,0.01539339864828379,0.06155574646749583,NA,NA,NA,NA,NA,NA,-0.03314565675239967,0.017893678658482317,-0.12203643448946433,NA,NA,0.02904076875189112,0.005016389668710763,NA,NA,NA,NA,-0.10336178237900978,-0.16793473403885628,NA,-0.083699940877551,NA,0.01089469772227937,-0.04545544021702046
brother,0.10000093447544389,0.03539190982454589,0.058171583583681734,0.1469357779817712,NA,NA,NA,NA,0.09142132911654471,-0.05078407957301291,0.07477099063834476,0.05629899429921777,-0.05039556623076011,-0.1038887175264003,-0.03413706505011808,0.04594583782414445,NA,NA,NA,0.022848990055169695,0.03321494638613446,0.0076922944893446175,-0.010612498739129297,NA,NA,NA,NA,NA,NA,-0.11472250797508697,-0.019740232158412408,-0.09380184709369939,NA,NA,0.002002097346249777,0.005950193353049969,NA,NA,NA,NA,-0.10976180327249774,-0.1709524730677885,NA,-0.05342901247695729,NA,0.041645828931219334,-0.11921938335842618
sister,0.12249384793568634,0.0829663013381438,0.06589193493554059,0.208433867264941,NA,NA,NA,NA,0.10265902416849626,-0.0035987113908071055,0.13436111053727248,0.12092910979524,-0.02716583260138664,-0.13070931670291522,-0.06115062956098714,-0.006304265310672026,NA,NA,NA,0.06926038159284133,0.10685536764714604,0.003021458264080994,0.06662412874508589,NA,NA,NA,NA,NA,NA,-0.008112828122872822,0.07484839910870042,-0.09586751912387168,NA,NA,0.03355872649278408,0.011219818133102792,NA,NA,NA,NA,-0.06679307074074105,-0.14008798836561054,NA,-0.030613697849222462,NA,0.07082922108730624,-0.02167536169468457
uncle,0.06506816841711119,-0.031042587035937347,0.01729986366166492,0.08151370586473881,NA,NA,NA,NA,0.09899034540638206,0.01086029460570441,0.08927468189732049,0.09641874353098459,0.020178157519753305,-0.0734023577497273,-0.053530685315261554,-0.026346454049984168,NA,NA,NA,-0.041087806025779286,0.05235838214161695,0.018057169570047403,0.039686953263933636,NA,NA,NA,NA,NA,NA,-0.03848062390855775,0.0033220896650321325,-0.06079564036843096,NA,NA,-0.03912031719226932,0.03721788261135585,NA,NA,NA,NA,-0.12093774624180927,-0.1515420234157356,NA,-0.13254479477078976,NA,0.1087716517064068,-0.0479772012238292
aunt,0.04499784951330041,0.03494940183779117,0.08474134557887912,0.1501058191751848,NA,NA,NA,NA,0.21039682242376373,-0.019505575775513633,0.09887101851258286,0.1699071113638465,-0.0493213931396987,-0.053668717804353325,-0.08107031240209327,-0.022806444413794903,NA,NA,NA,0.10651343429908343,0.12473107423652678,0.09869649117843465,0.0337778315582727,NA,NA,NA,NA,NA,NA,-0.04441212762980093,-0.014361191542491533,-0.10788947251630215,NA,NA,-0.10012690161212193,0.0007010237948185999,NA,NA,NA,NA,-0.11542331081792423,-0.11529474072052891,NA,-0.11298169000107854,NA,0.10677691810756935,0.05002985675882773
