1950,care,cares,caring,cared,nurturing,nurture,nurtures,nurtured,help,helps,helping,helped,concern,concerns,concerned,concerning,empathy,empathetic,empathize,sympathy,sympathize,sympathetic,compassion,compassionate,uncaring,apathetic,apathy,unconcerned,unconcerning,indifference,indifferent,detached,detachment,neglectful,neglect,neglected,neglecting,unsympathetic,unempathetic,uncompassionate,disregard,disregarded,disregarding,ignore,ignores,ignoring,ignored
husband,0.16881377355866753,0.1899651112646173,0.285339641989688,0.2120892049665741,NA,0.029609824906370784,NA,0.10603690521027244,0.14207001920652926,0.03890088622791306,0.15349497326999673,0.07813691881708865,0.12225411062745317,0.07269290183349318,0.0917697654658408,-0.057965652543479386,-0.0529882646897992,NA,NA,0.10230056660539753,0.14675244973225726,-0.03539700419533368,0.12249331804290384,0.013061733465833295,NA,0.012270245042258071,0.032509212438568545,0.026992582572538282,NA,0.06880624931532056,0.1141217995032394,0.04435452579814351,-0.03728815918112569,NA,0.1600554307613974,0.10478103441345522,0.09461876657261457,0.004964504268356703,NA,NA,0.02967075845523498,0.07853763522610885,0.07515736872151281,0.06077317186630469,-0.04000920892986516,0.01689037430167341,0.08493159594386267
wife,0.21832451755353735,0.14784967012372197,0.24902075117613443,0.2785303876178327,NA,0.025661856706941915,NA,0.12867262586202455,0.13561736686736814,0.02396216512957177,0.1211838173948886,0.07651237102688375,0.05886308092400197,0.007104990582173985,0.03597824028401134,-0.0687132062481851,-0.019502733780539464,NA,NA,0.16329404472176567,0.1491570071858702,0.004377552874666164,0.14503168283028608,0.0033205134150943636,NA,0.016861663100601984,-0.10634025046322255,0.036476812162159235,NA,-0.01937014741227393,0.06600209247057977,-0.0044798979724825485,0.005884535109233815,NA,0.11521949040367445,0.09273007484572482,0.06517571569027424,0.04129369920947142,NA,NA,-0.04070150273824987,0.011521019654709886,0.01213570156984549,0.004711755727703346,-0.0677498824885661,-0.015338341168566938,0.025329843844389372
father,0.19422496774905942,0.14676286956611784,0.21531300084387447,0.18561627483641494,NA,0.051419868552375333,NA,0.057176839206964904,0.1440244504752779,0.02785675048443486,0.1285056723660286,0.11333644648105937,0.1588393845507328,0.11476233150360245,0.04678372737200839,0.04273278073512399,-0.06233764644865914,NA,NA,0.12670818898143787,0.1115085083211207,-0.034299943650495886,0.18065230727208706,0.1173072944994535,NA,-0.03169846007167187,-0.07810631062794213,0.021968642283180493,NA,0.016476142436251732,0.03749039629611423,-0.08645018240965584,-0.048413090009046415,NA,0.07280798007974118,0.06129935104336958,0.018800867098053453,0.02040706032584101,NA,NA,0.00995464144188604,0.004850769291477078,0.06691594926389435,-0.007865278414822131,-0.06601936022895431,0.006495268432486682,0.03693810547363233
mother,0.2237369109979806,0.16193584494326219,0.27192603706701163,0.2569349070638629,NA,0.08579318544227724,NA,0.12956593433792665,0.15039077889651561,0.08721777925020058,0.1536439742353172,0.08163769612805435,0.16803815456595467,0.04565088097307441,0.05408793093640595,-0.010711930771260408,-0.020553474198773812,NA,NA,0.10588461090961916,0.07442786298271373,0.002742139744405596,0.21256335494922013,0.10562511518215173,NA,0.01454312272825669,-0.009693730345615133,0.047558831813900686,NA,0.04698296077395118,0.07995200166469983,-0.019536092043194484,-0.05351449084891586,NA,0.07693614042170405,0.07531444902809156,0.10499791600324104,0.0694295578363366,NA,NA,-0.02650305733507348,-0.07256695237748394,0.020157528363967548,-0.04651579407473998,-0.06254467310521868,0.01231025082715926,-0.011518946891996597
son,0.08299404997765401,0.07244038942161035,0.12283690224377548,0.07968916171865917,NA,0.14899955517273336,NA,0.13160396149973605,0.09684460448441998,0.07499117784067108,0.09620177595030846,0.08124366251584773,0.0371029845319612,0.00015552410311314528,-0.05975732257124166,0.04072240777841698,0.0008185545754926069,NA,NA,0.1443933601333542,0.12378501791835296,-0.012500618771419034,0.14642788487847966,0.14022304582932477,NA,-0.003520078331679743,-0.05612089345540184,-0.028630198202914535,NA,-0.008730796584568247,-0.03730308087599697,-0.10581716623269723,0.03222780506797284,NA,-0.0033370741773265334,-0.02253427081459685,0.004239532275369605,0.10725993137074238,NA,NA,-0.06961826452708163,-0.07005161781289006,-0.010132885566607956,0.0011788744813307642,0.0025918786385994838,-0.03923549282956451,-0.07303786792548211
daughter,0.13004631506855988,0.06847457360978494,0.19093471735819856,0.16551417991489104,NA,0.09148762800151536,NA,0.07270299357966753,0.059104138701177214,0.07316642697118826,0.10704366250947686,0.044758675741886494,0.05273545072694731,0.029395391705880833,-0.048068120617730636,-0.03695110307932202,-0.04391354253899933,NA,NA,0.020269433336613466,0.06108093954199791,-0.019334533192752232,0.07011564021260529,0.021058410677752534,NA,0.031195431140896582,-0.07150721993706934,0.028988788145640283,NA,-0.03321639075462457,0.021159288731141247,-0.009193074973011271,0.0248307721711668,NA,0.01676254577318335,0.009981272071528215,-0.0027184057253465408,0.010904436718098971,NA,NA,-0.07347250794894665,-0.09583480452227204,-0.06820832588769758,-0.04795985011994254,-0.0817528334935528,-0.004002048448504321,-0.0629149305806289
brother,0.20463405853721528,0.07157915135872764,0.20984647801306253,0.19923136605212033,NA,0.030382800679296135,NA,0.028632518747190187,0.10204531925179379,0.04487194280846669,0.12145715114042126,0.0954872954663431,0.08814863922783592,0.07172274653328985,0.002026699323869533,-0.0445666230861207,-0.059452307234169124,NA,NA,0.14081272403391057,0.1488860679941729,-0.05132866070952387,0.13993927346524757,0.10453765500663706,NA,0.011849317494597507,-0.09118950505305294,0.045754511230514605,NA,-0.02209618336156581,0.018662952013915265,-0.06384338887966266,-0.0432638735835119,NA,-0.001661029709921887,0.048045230290640145,0.05931339265111485,0.02122854558921827,NA,NA,-0.04624603422137187,-0.04074528796818435,0.0005506789640874464,-0.020460132119059032,-0.06650187910650177,-0.0013733723651794395,-0.050860081198553585
sister,0.20379557214478652,0.1257627954339113,0.2542815491048826,0.26629629450961756,NA,0.028969272950505817,NA,0.051269033511769174,0.10014717070759181,-0.0003415134188347966,0.09186128594194673,0.03895284112834599,0.10896159448444895,0.054554930228332514,0.020138697343647326,-0.03659027521436992,-0.016907871019253416,NA,NA,0.15896665650131148,0.08565317576608368,-0.012637522406050941,0.19946501630895083,0.06424914613538343,NA,0.044274974979693855,-0.054360253843559254,0.11514019211614462,NA,0.05278062278340588,0.07815581296254752,-0.043877577033466224,-0.02071568145974815,NA,0.009925653759028982,0.05139355723341004,0.032222775549647954,0.028600409559478387,NA,NA,-0.02746173474570693,-0.030357178035178487,-0.018015176108230852,-0.0030262131116067475,-0.019363288039595545,0.039176822808293314,0.025075261276288882
uncle,0.21234791573941372,0.0588791771826521,0.12531634232363295,0.18819773108884463,NA,-0.0035100061804753642,NA,0.020292025259367838,0.07292466562250861,-0.00818227439837321,0.08837726809299189,0.03484149289164985,0.05209153250547331,0.018478640016244045,-0.018416983056335115,-0.028799224118062933,-0.09065325235479232,NA,NA,0.05491875039232289,0.09368810545645045,-0.052564901263989244,0.07051585218054507,0.08526332513398575,NA,0.008898360811975725,-0.05509143618972217,0.07370885376574042,NA,-0.018944619534423328,0.02448937591064633,0.013761308029960334,-0.004963828227969148,NA,-0.058127778317680776,0.032178606509376366,-0.046737605060304506,-0.04008776898746601,NA,NA,-0.06374934188358955,0.018685178353367356,0.06896960188284836,-0.06803958531419073,-0.05772504143277166,0.002361672891234231,0.03200054626904766
aunt,0.23693715601082788,0.14301044649135436,0.15576770000244064,0.27146492960293644,NA,-0.057067566986058506,NA,0.1472536275725661,0.11160161038726353,-0.019767747254313992,0.06264658715337439,0.027546615749945602,0.050036908195703556,0.018380038545374733,-0.04100863853623033,-0.06751666135433596,-0.03880083368026591,NA,NA,0.12989937304896695,0.08390134227643047,-0.04156177331753624,0.18356146909095675,0.08474693810137776,NA,0.10994065102101949,-0.0060020579485613405,0.1394209993099077,NA,0.09204863676462777,0.1132960804364544,-0.0027078846768846766,-0.021481401147232633,NA,0.047043048638102346,0.04597231866102767,0.03245737777185892,0.008919440950071899,NA,NA,0.01661795584341428,0.07022289131211189,0.04923714970457298,0.02580150257388124,-0.02737561792535014,0.0931072475469007,0.08171938499255546
