word2vec-google-news-300,husband,wife,father,mother,son,daughter,brother,sister,uncle,aunt,niece,nephew,grandmother,grandfather,acquaintance,ally,associate,colleague,counterpart,fellow,neighbor,patriot,confidant,companion,partner,supporter,member,follower,emigrant,foreigner,intruder,settler,stranger,visitor,vagrant,opposition,rival,opponent,adversary,competitor,invader,occupier,arab,beggar,blacks,crippled,disabled,jew,mexican,unemployed,native,elderly,indian,woman,chinese,pauper,animal,ape,bird,elephant,chicken,cow,dog,fish,pig,shark,bear,snake,monkey,lion,nature,forest,lake,mountain,ocean,reef,river,tree,sea,beach,island,coast,earth,planet
care,0.074016094,0.09880443,0.09526363,0.19729465,0.081434235,0.11972014,0.03885981,0.112620346,0.061546974,0.14786913,0.11716776,0.030581815,0.1894073,0.11051492,0.05492155,0.03045659,0.04913064,-0.04359505,-0.05700604,4.410443e-05,0.11528117,0.0643403,0.097500235,0.12330641,0.03655751,0.043199956,0.046646502,0.08850259,0.06511197,0.020808274,0.033579975,0.028723836,0.067939155,0.10550926,0.079697914,-0.009833775,-0.01341,0.02559073,0.007071716,0.06382998,-0.011607862,0.07595894,0.09091739,0.11342238,0.07420973,0.101373576,0.32236335,0.008462329,0.04732089,0.1552044,0.02562465,0.36435762,0.03325063,0.10393228,0.03694632,0.16306625,0.19174428,0.05386622,0.09498702,0.08911692,0.07326556,0.018097151,0.19691971,0.055156633,0.0383283,-0.01192645,0.13663776,0.09238386,-0.0005191464,0.08079201,0.15039389,0.08919495,0.017386708,0.03952378,0.028029049,0.033645194,-0.006950924,0.062343072,0.013477411,0.07728058,0.08274447,0.024364883,0.0684153,0.06559435
cares,0.093429126,0.121771455,0.11787561,0.14857833,0.13267511,0.11974625,0.12684259,0.15031582,0.10496029,0.121583834,0.14114355,0.14109235,0.14177881,0.10152091,0.07664408,0.06662085,0.08608101,0.021576878,0.043567955,0.10919895,0.16259839,0.2159739,0.12067926,0.02868399,0.019715043,0.18171687,0.1619312,0.16408482,0.05870786,0.12933877,0.03675798,-0.0186915,0.24765524,0.09559708,0.14493586,0.040493447,0.034994874,0.07638279,0.032340236,0.08786475,0.009163815,0.09529893,0.20898606,0.16130777,0.11424092,0.13910003,0.2410292,0.1826911,0.14172374,0.16663457,0.070316926,0.16824767,0.17936155,0.11658312,0.14488956,0.20059076,0.101591125,0.04507738,0.0948353,0.09269275,0.08090928,0.06931122,0.16624086,0.091125116,0.10164511,-3.7590675e-05,0.11705303,0.106143914,0.0820657,0.06648505,0.11307407,0.022068461,0.056482706,0.017147658,0.070503674,0.016458735,0.032874286,0.043587685,0.021349324,0.077484444,0.08338526,0.027002316,0.20127128,0.22286317
caring,0.2468582,0.21663384,0.24673341,0.35082546,0.2212231,0.25106037,0.18159387,0.22947632,0.20212294,0.2942084,0.26502958,0.15746492,0.30055588,0.21556553,0.15167706,0.11907689,0.10056831,0.0800357,-0.031112323,0.14669502,0.26588896,0.24285206,0.2166498,0.21813995,0.08516586,0.116757445,0.09529354,0.15894105,0.07429104,0.0841695,0.072966486,0.086725675,0.14315802,0.097144864,0.22263671,0.020183258,-0.035844624,0.029188517,0.066886805,0.050179068,0.01966454,0.13959484,0.07106573,0.1625047,0.09517165,0.09779515,0.34985593,0.0016267324,0.026780628,0.22872038,0.090648286,0.3916587,0.056350347,0.23541857,0.0066771694,0.13594243,0.25767806,0.11307776,0.13791794,0.12875888,0.04362251,0.09279017,0.28144106,0.053835887,0.09523063,0.058392055,0.16769913,0.10437149,0.060787514,0.13347821,0.25155166,0.073294744,0.0852134,0.05837815,0.12794429,0.0947176,0.07672411,0.12504153,0.09708905,0.07713928,0.093312286,0.024080416,0.25812456,0.20984116
cared,0.21629031,0.19779697,0.26670006,0.30257902,0.22233082,0.21618742,0.20941019,0.21189284,0.24917068,0.2849681,0.24586135,0.19434388,0.30247608,0.2796625,0.13182558,0.03909483,0.08569977,0.06213643,-0.03021755,0.16394874,0.18413942,0.20069037,0.19797584,0.13917437,0.001537067,0.13318342,0.101755686,0.13959897,0.08349962,0.077410445,0.054568186,0.018978976,0.1547564,0.055509843,0.1547487,0.01936198,-0.023794353,0.02172482,-0.015704105,0.012894157,-0.026636273,0.048738874,0.09389583,0.107468605,0.17711823,0.14273101,0.29386222,0.13125758,0.06484062,0.13960266,0.112481475,0.23400152,0.0798978,0.137185,0.084045246,0.2047129,0.16392303,0.086167865,0.13040575,0.12152812,0.08200017,0.068016514,0.23073888,0.0941784,0.08620464,0.053053237,0.1252804,0.15066513,0.08948004,0.077494726,0.10837136,0.05186339,0.090476915,0.011189668,0.0628585,0.05188218,0.054308813,0.10093543,0.071863264,0.06352838,0.08961108,0.015553552,0.15520447,0.16267997
nurturing,0.082717076,0.07278878,0.16251259,0.20651679,0.1260333,0.15938829,0.053436887,0.15062699,0.10059367,0.12433995,0.14720924,0.060611375,0.13718769,0.088481836,0.09078661,0.14066106,0.12684664,0.010049366,0.0017013225,0.048886545,0.10171449,0.0981355,0.18430735,0.07353292,0.174106,0.13341373,0.067594595,0.14904857,0.06921812,0.061023608,0.016457338,0.045984324,0.109562814,0.03219574,0.09546728,-0.017097753,0.019782558,-0.04120189,0.06779091,0.03586659,0.06853963,0.11083886,0.008534215,0.03366743,0.041127935,0.042338908,0.07313562,-0.052757148,-0.018124092,0.0869429,0.11310089,0.05924725,0.030524928,0.077218235,-0.014957641,0.024727767,0.14536878,0.09682298,0.08623812,0.0665033,0.0339124,0.007280458,0.12846662,0.062101748,0.009533144,-0.026569987,0.08617215,0.060518693,0.08757501,0.11583877,0.25697857,0.07126073,0.0781961,0.011835569,0.1012363,0.062210727,0.08071252,0.10866718,0.049132373,0.034768395,0.04157361,0.0454325,0.23434481,0.16089332
nurture,0.06207616,0.07021006,0.15910745,0.1630787,0.12401173,0.12076332,0.06797829,0.12469767,0.09882391,0.08622151,0.08952558,0.05535377,0.09526139,0.09909689,0.071841665,0.10638361,0.11316842,-0.020790333,0.021285346,0.10054281,0.07072086,0.12596996,0.14266576,0.04776737,0.14784995,0.13012862,0.04993811,0.13502294,0.06750831,0.060269363,0.043350503,0.053331222,0.06821727,0.037755206,0.10894182,-0.01745053,0.048268937,-0.028578322,0.092835836,0.023123778,0.09725859,0.094494365,0.0895404,0.036756333,0.080862254,0.09415772,0.07457979,0.03117334,0.033481628,0.14274846,0.1635589,0.046441756,0.104093485,0.075184464,0.078355834,0.044178784,0.1385086,0.20798634,0.10683847,0.12067815,0.04527492,0.040647488,0.09314209,0.06743392,0.02400556,0.023402879,0.11026176,0.078481786,0.14314748,0.078824855,0.2455727,0.1046867,0.055122633,0.041155934,0.090289325,0.09357785,0.0738713,0.16828041,0.04716654,0.040438764,0.10181309,0.054804448,0.23144747,0.1755223
nurtures,0.04287149,0.060469236,0.079274,0.12816514,0.09236822,0.102324516,0.030702854,0.11835041,0.058052845,0.07397659,0.11523195,0.059802305,0.06252292,0.06269721,0.054890957,0.05243024,0.13065381,-0.022536634,-0.017944885,0.0616589,0.064242624,0.106051,0.066635765,0.029117638,0.112176575,0.16581312,0.13314071,0.109373696,0.06833907,0.0751574,0.0623107,0.070120856,0.14094113,0.08359304,0.1268029,-0.026914656,0.011827738,-0.040072117,0.05441059,0.022914873,0.12828568,0.08761682,0.08482567,0.08798549,0.009540822,0.09532547,0.053267155,0.032455683,0.08209641,0.03503186,0.1849084,0.02263949,0.14163005,0.11710786,0.048668597,0.08326401,0.11684159,0.062472865,0.09685211,0.056400396,0.035028983,0.007055863,0.04186487,0.0860764,0.037004147,-0.028823942,0.05587881,0.07703908,0.0935798,0.07796377,0.18792357,0.09586879,0.07780714,0.048897628,0.07851042,0.041500926,0.10664333,0.14294066,0.032328133,-0.013313151,0.054735743,0.028145367,0.13804415,0.11137994
nurtured,0.14474738,0.11999726,0.2513588,0.19909069,0.18477161,0.17014,0.11759884,0.15355527,0.21520974,0.17584418,0.13301334,0.09359707,0.18568803,0.25305817,0.13336714,0.137349,0.124005154,0.05965577,-0.013371212,0.07679159,0.100169055,0.1827658,0.22765893,0.03418338,0.12218669,0.21922477,0.11452386,0.16870745,0.14268139,0.07080147,0.04342603,0.060480528,0.10043401,-0.012008371,0.1235228,0.021481527,0.086878575,0.0055988254,0.13111193,0.046997916,0.068871655,0.05466935,0.02065448,0.0882005,0.08312507,0.21825115,0.064667255,0.033764854,-0.015633475,0.08286936,0.23033005,0.028190032,0.027655993,0.056738377,0.019696278,0.10577332,0.08915973,0.07469477,0.07412648,0.09287349,0.030714313,0.02725224,0.07708775,0.039092064,0.03892188,-0.022219399,0.114584245,0.09538497,0.08446702,0.07339993,0.16457263,0.09194186,0.053063,0.03239731,0.036807764,0.036875397,0.05725598,0.16248205,0.04837259,0.01070772,0.07134831,0.013138802,0.17359343,0.08404032
help,0.08403107,0.06411776,0.07620869,0.10707806,0.08516079,0.08996162,0.06991898,0.13289121,0.074562624,0.0976495,0.080494605,0.05480288,0.1017776,0.08849101,0.029359393,0.13408567,0.06215565,-0.0038005058,0.030447192,0.15429047,0.13529101,0.049839113,0.081194475,0.14889865,0.17318395,0.08955659,0.059095893,-0.0038519064,0.08109378,-0.013306897,0.023255713,-0.027162297,0.04338084,0.1097318,0.089330524,0.044715974,0.06737911,0.0048892144,0.027611215,0.018096192,0.019798364,0.028131241,0.03941751,0.11534319,0.026668753,0.18380418,0.21668926,-0.051714256,0.044366434,0.17585163,0.115766615,0.17149271,-0.007328976,0.04211569,0.038548715,0.047289375,0.07182252,0.009031742,0.04299816,0.06856434,0.017067216,0.033071417,0.09995236,0.0432132,0.034781538,0.02777869,0.09336986,0.05866809,0.09818166,0.0025484602,0.05621317,0.06067855,0.07031199,0.08045458,0.071098045,0.020406205,0.086706646,0.074939676,0.06443807,0.07922702,0.08202036,0.09068,0.10932308,0.092770025
helps,0.01659826,0.0030017393,0.0071065603,0.029482527,0.023445394,0.010294048,0.038308717,0.09359631,-0.0026514695,0.016137881,0.009411733,0.015124151,0.02263193,0.023608584,-0.03878452,0.0024259198,0.06536307,-0.04701503,0.011255697,0.09277767,0.020642802,-0.021400481,0.012129327,0.08826781,0.15202919,0.042605538,0.06001768,-0.039929044,-0.0056891814,-0.017055513,-0.038173597,0.014016743,-0.0030979502,0.041971162,0.047213513,-0.059883095,0.030054873,-0.031248664,-0.019209657,0.032196246,-0.0053360374,0.02674691,0.050820936,0.0064535714,0.005237024,0.1165078,0.13856965,-0.00037537434,0.07946293,0.02449347,0.06310986,0.079343006,0.07596599,-0.027893618,0.07541645,0.05779966,0.058094423,-0.032355856,0.042939425,0.031951986,0.03005471,0.031267226,0.08692221,0.033225626,0.030216543,-0.011397381,-0.01772223,0.026031718,0.08369167,-0.04252605,0.08381533,0.022490304,0.026348382,0.020983856,0.03714876,0.019696297,0.04769008,0.06670018,-0.009118617,0.030202497,0.025877124,0.014290063,0.037256647,0.066815756
helping,0.08088119,0.05904763,0.082466096,0.05551315,0.07780398,0.06732401,0.08070638,0.104485214,0.06576008,0.04644231,0.06108839,0.062205058,0.08875083,0.106940284,-0.019629173,0.119036496,0.08162099,-0.0029581285,0.0062602228,0.18031988,0.06604663,0.09131545,0.12353971,0.07755788,0.2040892,0.15733422,0.12543356,0.0768066,0.06778649,0.0031119797,-0.047648754,-0.0027156407,-0.009633989,0.020797372,0.031868465,-0.011447045,0.061781384,0.002398473,0.004597344,0.021048816,-0.010360275,0.081189565,0.03217679,0.023635454,0.056424536,0.17061694,0.19407175,-0.040274903,0.025985591,0.1493171,0.12721008,0.13707201,0.01832623,0.023571385,-0.014273617,-0.046281185,0.035506573,-0.08003394,0.00377763,-0.018765997,0.0129610505,-0.028914005,0.0672386,0.01296252,-0.0009924229,-0.027457314,0.020509074,-0.023146965,0.010936276,-0.021510309,0.03952352,0.020261394,0.073437944,0.062220484,0.04341806,0.018662479,0.079190075,0.023445336,0.024354434,0.031179208,0.049776345,0.0769924,0.07026534,0.109635286
