 ,canon,bale,essay,crest,hide,razor,plot,iodine,timber,sole,gap,pulp,log,coil,cork,barrel,valve,strap,rail,closet,cabinet,bundle,postage,landing,font,tool,street,wall,mud,slice,section,rope,post,monitor,metal,limestone,granite,fluid,fiddle,fence,dash,chess,buckle,brass,bedding,bag,anvil,scissors,iron,trunk,vent,tongs,strand,staple,spur,ruler,pulley,platform,orb,net,mat,machine,hose,horn,embankment,digestive,credit,column,cap,bar,wheat,steps,steel,saddle,rod,organ,flank,factory,collar,barley,attic,piping,chimney,den,furnace,patch,peroxide,reins,rudder,sack,sediment,square,turnpike,floor,hedge,laboratory
1830,7238.5,1043.0,15940.5,3551.5,11621.5,604.5,12950.0,1191.0,11887.0,29658.5,1510.5,1000.0,2986.5,777.0,5167.0,4073.5,4965.0,589.0,5307.5,5079.5,13720.0,2928.0,883.5,12205.5,771.0,2476.0,61365.5,56259.0,10219.0,935.5,31984.0,8809.0,46529.0,544.0,16624.0,7407.0,8179.5,26774.0,1158.0,3038.5,2598.0,1449.0,690.5,10822.5,696.5,6265.0,825.5,1439.0,63013.5,11605.5,5147.5,651.5,2783.5,2684.0,2989.5,7433.5,1487.0,4965.5,1197.5,6720.5,1356.0,16330.5,1102.0,7988.0,550.5,3154.0,57768.5,19640.5,11100.0,34308.5,18456.5,42844.0,9477.0,6187.5,13621.0,22368.5,7665.5,3019.5,3266.0,6267.0,671.0,509.5,6264.5,3075.5,7410.0,1728.5,665.5,5897.5,968.0,2404.5,1669.5,53621.0,1304.0,29512.5,3540.0,1372.5
1840,12469.0,834.0,18075.0,5421.0,13219.5,836.0,16181.0,2409.5,14733.0,36479.0,2295.5,1619.5,4676.5,1443.0,6245.5,4914.5,6961.0,750.5,4186.5,6558.5,18390.0,3400.5,1185.5,16066.5,1157.5,3793.0,77252.5,75821.0,12017.0,999.5,46243.0,11156.0,62049.5,656.5,21822.0,7359.5,7393.5,30711.0,915.0,4305.5,3167.0,2529.0,603.0,13303.0,887.0,7791.5,844.0,1831.0,84108.5,14531.5,5655.5,721.0,3584.5,3468.5,3307.0,10770.0,1680.0,7294.0,1431.0,8495.0,1551.5,18444.0,1014.0,9481.5,714.0,4214.5,63425.5,26138.0,16563.0,49721.5,24204.5,57061.0,11281.5,8576.0,17108.0,25362.0,10679.5,3887.5,3841.0,8638.5,813.0,537.5,7179.0,3955.0,9121.5,2468.0,1593.0,6920.0,1204.0,3219.5,1452.5,64603.5,1497.5,40149.0,4091.0,1945.0
1850,13506.5,1666.0,27989.5,9795.5,19905.0,1309.5,25328.0,4506.0,20735.0,48818.0,4008.0,2345.5,9104.0,2619.0,7556.0,8464.5,12104.5,1322.5,6096.0,9326.5,32149.5,5995.0,3201.0,23812.0,1434.5,5714.0,116085.0,114724.0,20289.0,1754.0,77478.5,16749.5,108475.0,980.0,35854.0,11775.0,12979.5,45667.5,1717.0,8021.5,5908.5,3209.5,1198.5,18283.0,1549.5,12180.5,1769.0,3333.0,145011.0,22985.5,8584.0,1199.0,4759.0,4876.5,5962.5,15486.0,2304.5,13274.0,2389.5,11724.5,2134.5,27470.5,1609.0,17580.5,1221.0,6134.5,90614.0,39072.5,23594.5,66376.5,32834.5,82642.5,22976.0,15897.5,24357.0,38630.5,16106.5,5481.5,6313.0,10932.0,1797.0,844.5,11882.0,6790.5,17257.5,3824.5,1952.0,10509.5,1568.0,5520.0,2550.5,98333.0,1500.5,67238.5,5427.0,3044.5
1860,11435.5,1388.5,23124.5,10999.5,18415.5,1237.0,19336.5,5726.5,16991.0,41050.5,5915.5,2124.0,7610.5,3313.0,7584.0,8833.5,11760.5,1240.0,5527.0,6476.0,30069.0,5815.5,2809.5,21747.0,1143.0,5607.0,111772.0,97405.0,18985.0,1792.5,87441.5,15696.0,93674.5,1143.0,32914.5,7322.0,8491.0,36798.5,1610.5,8192.5,5563.5,2481.5,1471.0,15581.0,1559.0,12599.5,1507.0,3598.0,145708.0,21426.0,6627.5,1091.5,4304.5,3976.5,4875.0,13732.5,1976.0,13958.0,1540.5,12171.0,1913.5,25429.5,1378.5,12902.0,1363.5,5509.0,71092.5,43006.5,19376.0,54221.0,26124.0,69784.0,22455.0,14283.0,22722.5,34710.5,20664.0,5950.0,5693.5,8461.5,1572.0,713.5,9617.0,6112.0,18787.0,4275.0,1457.0,7391.5,1574.5,4607.5,2399.0,84304.5,2092.5,62123.5,4969.0,2858.5
1870,18421.0,1096.0,33359.5,11417.5,22630.5,1557.5,23442.0,7233.5,21804.5,46403.0,6976.0,2493.5,9011.0,7310.0,9424.5,8258.0,15908.0,1498.0,8576.5,7621.0,31130.0,6602.5,3833.5,20646.0,1511.5,7482.5,151475.0,140515.0,21415.5,2250.5,139902.5,18833.5,114661.0,821.5,42072.5,8174.5,10279.5,49802.0,1462.0,9404.0,6205.5,3063.5,2037.0,18193.5,1979.5,15050.0,1703.0,4475.5,176160.0,24844.0,6932.0,1164.0,6861.5,4455.5,5748.5,19103.5,3070.5,16699.0,1867.5,16243.5,2132.5,33248.5,1568.0,14991.0,1841.0,6735.0,79920.5,43916.5,22887.0,67991.5,29768.5,86108.5,32525.5,13284.5,29058.0,45446.5,12883.5,7721.0,6664.0,9222.0,1897.5,899.0,11522.5,6720.5,19558.0,5474.5,1068.5,7853.5,1824.5,5179.5,2788.5,116664.0,1680.5,81664.0,5855.5,5554.0
1880,25183.0,1700.5,46704.0,18093.5,31225.0,2275.0,30381.5,10903.5,30317.5,61744.0,11148.0,4088.0,15291.5,16314.5,10931.0,11438.5,24568.0,1917.5,11431.0,9958.0,48142.0,10476.5,5562.5,28480.5,1765.0,9058.5,226156.0,211089.5,27546.5,3306.5,219878.0,25209.5,185940.5,1350.0,56021.5,8960.0,11978.0,62017.5,2923.5,13716.0,9057.0,4555.0,2925.5,24077.5,2739.0,21881.5,2563.0,6745.5,225269.5,36720.0,9171.5,1677.5,9351.0,5901.5,8208.5,27468.0,4379.0,27291.0,2499.0,24034.5,3135.0,48908.0,2540.5,21280.0,2232.0,8374.5,107624.5,61028.5,30458.0,90020.0,42539.5,119976.5,51798.5,20704.5,40950.5,61104.0,18862.5,13048.0,9314.5,12123.0,2860.0,1521.5,17587.0,9727.0,24005.5,7864.5,1453.0,11080.5,2347.5,7842.5,3754.0,166170.0,2310.0,123637.5,8162.0,9758.5
1890,26261.5,2559.0,50967.0,23012.0,39361.5,2624.0,37649.5,11805.5,32004.0,72534.5,17053.5,5581.5,20105.5,32764.5,12596.0,15428.0,39891.0,2895.0,17408.5,10917.5,53140.0,15254.0,5922.5,36480.5,2218.0,12599.0,292227.5,270051.0,36863.5,4697.0,273920.0,35321.0,196330.5,1968.5,71940.5,10969.5,13575.5,61648.5,3774.5,19622.0,12195.0,5842.0,3111.0,28663.5,3877.5,29017.0,2890.5,7594.5,273947.5,42828.5,10642.0,2479.0,11444.5,6898.5,11354.5,35507.5,6063.5,40930.0,2941.0,38262.0,4559.5,71874.5,3611.0,28587.5,3238.5,9222.5,130253.5,77312.0,43222.0,110939.0,48789.0,154115.5,63786.0,30576.0,52830.5,66186.5,22361.5,20247.0,14660.5,12943.5,4271.0,2464.0,23295.5,14281.5,30253.5,11593.5,2399.5,13447.5,2984.5,10366.5,4546.5,202346.5,2791.5,171068.0,10193.5,19401.0
1900,30868.5,2627.5,55501.5,30830.0,51808.0,3675.0,52077.0,14779.0,47053.5,90004.0,28126.5,8595.0,26105.0,47265.5,15414.0,19699.0,62238.0,3558.0,27233.0,15451.0,71014.0,18413.0,8955.0,43108.5,2650.0,20527.0,416691.0,400352.0,43927.5,5758.0,426506.5,46330.5,239235.5,2213.5,105411.5,18188.0,20130.0,84823.5,4702.0,25906.0,15878.5,7995.0,3663.5,35544.0,5008.0,40282.5,3868.0,10267.0,367771.5,55496.0,13342.5,2869.0,13950.0,9471.5,14486.0,36986.0,7982.5,56723.5,3887.0,88453.0,5479.0,117869.5,5449.5,37804.5,4422.5,14951.0,177722.0,97999.0,54742.5,136236.0,69751.5,205846.0,116346.0,35749.5,66945.5,81527.0,26366.0,41990.5,19178.0,17882.5,5950.0,3641.5,29865.5,19058.5,51885.0,14067.5,4383.5,17498.5,3965.0,14691.5,6869.5,274650.0,3341.5,255106.0,13143.5,40802.0
1910,17600.5,2117.5,36777.5,26974.5,39087.5,2467.0,38137.5,18772.0,38232.5,70531.0,28882.0,12858.5,23577.5,50832.5,11577.5,18807.0,67953.0,2790.0,26621.5,9667.0,66308.5,15562.5,7572.0,32968.5,2039.0,21712.5,378720.0,322683.0,37255.0,5260.0,471114.5,36045.0,190974.5,2018.0,105895.0,16566.0,14472.0,84260.0,3069.0,21662.5,12096.5,4406.0,2354.0,26772.0,4673.5,36957.0,3441.5,8210.5,331720.0,48590.5,8214.0,2185.0,8711.0,7562.5,11089.5,29926.5,7027.0,46914.5,2139.0,112578.5,4438.5,173332.0,4681.0,29257.5,3067.5,16482.0,158971.5,100726.0,37258.5,122335.5,77758.5,173790.0,143069.5,26159.5,56238.5,71014.0,22316.5,53973.5,15015.0,18323.0,4914.5,3260.0,18676.0,13878.5,50628.0,11047.0,6822.5,11609.0,3487.5,9916.5,6544.5,254473.0,2374.0,245412.0,8385.5,52426.5
1920,14969.5,1846.0,37389.5,20603.0,37162.5,2768.0,36364.0,14377.0,34448.0,64542.0,29214.0,11682.5,20419.0,41385.0,9418.5,15521.0,42907.0,2581.0,25678.0,8136.5,66267.0,13425.5,5540.5,30534.0,1528.5,20110.0,348974.0,261537.5,33708.5,4411.5,465092.0,34277.0,180835.5,2112.5,96535.5,15235.0,10024.5,52429.5,3222.5,19137.0,10632.0,4403.0,2618.5,24879.0,3689.0,31801.5,2738.0,5584.5,279851.5,37564.5,7580.5,2061.0,7586.0,7118.5,9849.5,28112.5,5568.0,43218.5,1746.0,103110.5,5051.5,157764.0,3887.5,25356.5,2957.0,10482.5,172576.0,90053.5,33779.0,105379.5,79957.5,171597.5,141768.5,22334.5,43781.0,51265.5,16408.0,57311.5,15310.5,16588.5,4373.0,2574.0,16197.0,13558.0,43172.0,11604.0,6076.0,10385.5,3116.0,8999.0,4003.5,217483.5,1593.5,226945.0,8292.5,45153.0
