 ,husband,wife,father,mother,son,daughter,brother,sister,uncle,aunt,niece,nephew,grandmother,grandfather,acquaintance,ally,associate,colleague,confidant,companion,counterpart,fellow,follower,member,neighbour,partner,patriot,supporter,arab,beggar,blacks,chinese,crippled,disabled,elderly,indian,jew,mexican,native,pauper,unemployed,woman,adversary,competitor,emigrant,foreigner,intruder,invader,occupier,opponent,opposition,rival,settler,stranger,visitor,vagrant,convict,criminal,crook,delinquent,deserter,enemy,felon,murderer,offender,robber,scoundrel,thief,traitor,villain,animal,ape,bear,bird,chicken,cow,dog,elephant,fish,lion,monkey,pig,shark,snake,beach,coast,earth,forest,island,lake,mountain,nature,ocean,planet,reef,river,sea,tree
1830,83248.5,151764.0,397244.5,158284.5,349032.5,103508.5,134423.0,50863.0,21615.5,6762.5,4503.0,11276.5,3087.5,8774.0,43209.5,6948.5,6260.5,2670.5,1012.0,28452.0,1234.5,86384.0,3426.0,97345.5,15167.5,7155.0,4823.5,1667.0,2208.5,3243.0,2742.5,19085.5,761.0,3510.0,2040.5,43243.0,10443.5,2541.5,75348.5,596.0,752.5,116671.5,5707.5,1529.0,557.0,3876.0,909.5,1005.0,1077.0,3509.0,71648.5,14855.0,608.0,41476.0,2560.0,646.5,1961.0,21649.0,698.0,1069.5,722.0,201041.5,1043.0,5470.5,7866.0,2226.0,838.0,5912.0,6500.5,2875.5,78208.5,756.0,121495.0,23003.0,982.0,6604.0,23545.0,6279.0,42222.0,16918.0,1365.5,2698.5,667.0,3208.5,9944.0,112138.5,325158.5,29801.0,136283.5,59834.0,56693.5,611798.5,44464.0,10693.0,1777.5,236518.0,244944.5,80067.5
1840,105060.5,196773.0,468362.5,196637.5,421288.5,121427.0,170568.5,62259.5,23761.5,6873.5,4966.0,12560.0,3104.0,10836.0,43790.5,8248.5,7883.0,3651.5,798.0,29843.0,1755.0,105015.5,2661.5,127270.5,14092.0,9009.0,5579.5,2283.0,3938.0,3788.5,2520.5,26934.5,1231.5,4017.0,2051.5,73261.5,11790.0,10808.0,89599.5,1071.5,935.0,139052.0,6613.5,2050.5,955.0,5005.0,898.0,1326.0,1383.5,4273.0,93187.5,18617.0,1123.0,41457.5,4078.5,899.5,2389.5,25672.0,779.5,1080.0,884.0,248082.0,1242.0,6378.0,8062.5,2802.0,986.5,6428.0,7877.5,2558.5,86018.0,764.0,147104.0,27344.5,925.0,7777.5,25994.5,5120.5,46763.0,19575.5,1300.0,3008.5,717.0,3953.0,12045.5,126801.5,384191.5,36860.5,154248.5,68559.5,68824.5,723372.0,51182.5,13023.5,2874.5,290247.5,273179.0,93382.0
1850,152678.5,284918.5,648456.0,314209.0,568033.5,178476.0,245849.5,98323.5,40758.0,13748.0,8475.5,19814.0,5507.0,17477.5,62460.0,13406.5,12131.0,7119.0,1561.5,50617.5,2425.0,156336.5,4289.0,194466.0,15943.5,12907.5,10514.0,3466.5,7619.5,5779.5,4548.5,29122.5,2222.5,5985.0,3642.5,114662.5,14967.0,11514.5,132909.5,1442.0,1227.0,221471.0,9454.0,2978.5,1887.0,7123.0,1639.0,1882.5,1362.5,6293.0,127925.5,29372.5,1940.0,62583.5,7874.0,1406.0,3434.0,38202.5,1155.0,1649.0,1620.5,363170.0,1559.5,9334.5,10571.0,3882.0,1730.5,8913.0,12122.5,4584.0,128572.5,1272.0,208204.0,41718.5,1680.0,11945.5,42027.0,9052.5,68133.0,31522.0,2585.0,5201.5,1071.0,6489.5,17749.0,179715.0,551864.5,61556.5,216247.0,112636.0,106341.0,947136.0,86961.0,23607.5,3495.5,421401.0,425287.5,140643.5
1860,136506.0,261835.5,547250.0,285307.5,464273.0,146285.5,194651.5,82643.0,35078.0,13692.0,6762.0,16335.5,6170.5,15193.5,46541.5,9550.5,9591.0,4902.5,1120.0,38029.5,2400.0,135605.5,3083.5,167986.5,12560.5,12960.0,7827.5,2940.5,5390.0,4979.5,4731.0,20880.0,2021.0,5399.0,3386.5,78354.0,12610.0,7733.5,96650.0,1383.5,1026.5,217684.5,6661.5,2293.0,1343.5,5634.5,1363.5,1745.5,1993.5,5244.0,90393.5,21401.0,1200.0,47769.0,8292.0,1315.5,2615.5,29664.5,1270.5,1422.0,1274.0,364197.5,1561.0,7391.0,9233.0,2815.0,1520.0,8327.0,10326.5,3174.5,105472.0,2019.0,178335.0,43243.5,1575.5,10896.5,39610.0,8724.5,68819.0,25280.0,2449.5,6634.5,1003.5,6436.5,15628.5,141646.5,414628.0,52786.0,182404.0,84025.0,86496.0,702787.0,63915.5,14720.0,2804.5,353858.0,341712.0,122241.5
1870,171898.5,326583.0,649965.0,353142.5,536074.0,169218.0,222030.5,99366.5,40214.0,17954.5,7402.0,17573.5,6659.0,19815.0,51831.0,10102.5,11599.0,5771.0,1142.0,42061.0,3187.0,158032.5,3241.5,237672.0,15585.5,16541.5,7175.5,3574.0,4840.5,5719.5,3048.5,31394.5,2170.0,4968.0,4109.5,94782.0,15062.5,8271.0,107205.5,1920.0,1125.5,278523.5,6890.0,2095.5,1645.5,6285.0,1566.5,1715.0,3541.5,6138.5,99454.0,23645.0,1988.5,50697.5,10422.0,1047.0,3358.5,38959.0,1297.0,1400.5,1024.0,250397.5,1501.0,8225.5,10399.5,2965.5,1533.0,9703.0,9849.0,3627.5,127080.0,3487.5,210455.0,56654.5,2054.5,13716.0,53003.0,9900.5,75049.0,28376.5,3554.5,8550.5,1176.5,6545.5,17718.0,155647.0,508557.5,61597.0,184358.5,103925.5,94032.5,853913.0,70170.0,19560.5,3699.0,365579.5,408620.5,142696.0
1880,231540.5,448887.0,800281.0,467492.5,632808.0,230145.0,282778.5,130150.5,54494.5,24506.0,10125.5,23420.5,9591.0,33805.5,72308.0,12287.5,16026.5,8155.5,1693.5,58903.0,4605.0,209983.0,4325.5,326626.5,15772.5,23753.0,10753.5,5153.0,7506.5,8551.0,5227.0,45794.5,2990.5,6955.0,7010.5,150370.0,17776.0,15170.0,154079.5,2884.5,1908.0,399330.0,8455.5,2598.5,2326.5,8809.5,2207.0,2261.0,4274.0,8743.5,128415.0,32698.0,3108.0,69662.5,15616.5,2036.0,4748.0,51813.0,2179.5,1929.5,1663.0,359674.5,1535.5,9946.0,11731.5,4453.0,2586.5,12795.5,12239.0,5073.0,157657.5,3865.5,265385.0,75209.5,3500.0,19566.0,71386.5,11406.0,107303.5,38765.0,4986.5,12802.0,1541.0,12321.0,24145.5,221743.0,585520.5,88616.5,243874.5,144155.0,134822.5,1099355.5,92753.0,22222.0,5090.5,533636.0,521692.5,190451.5
1890,261908.0,529759.5,938760.5,569774.0,704515.5,273960.0,331513.0,160551.0,74457.5,29952.0,13090.0,28545.5,13053.0,38463.0,87440.0,14619.5,20964.5,8987.0,2515.0,77983.0,5810.5,262279.5,6166.5,394064.5,18511.0,26576.5,11546.0,6825.5,9013.0,10949.0,7538.5,57803.0,4515.0,7604.5,8851.5,176400.0,24390.0,17662.5,177305.0,3976.5,4851.5,552609.0,10285.5,3412.0,3516.0,11004.0,3296.5,2606.5,5417.5,11426.5,139422.0,38764.5,3669.0,90559.0,22695.0,2486.5,5944.0,59273.0,3268.5,2193.5,1941.5,389173.0,1641.5,12548.5,11894.0,5864.5,3508.5,15778.5,14914.0,6885.0,186521.5,5435.5,300011.0,96044.0,5068.5,24042.5,95566.5,13993.0,111993.0,44567.5,6852.5,17976.5,2486.0,14395.5,37445.0,262829.5,649179.5,115816.0,301220.5,179163.5,154694.5,1222327.5,110469.0,28277.5,9020.0,600546.0,605888.0,223339.0
1900,376252.5,729179.5,1196544.0,778132.0,888358.5,371346.0,431987.0,213355.5,101762.5,45445.5,18471.0,38082.0,17890.0,48054.5,113186.0,18378.5,28646.5,11188.5,2980.0,88409.0,6492.0,321710.5,6841.5,535426.5,23463.0,41210.5,14749.0,9029.5,9392.0,15004.5,9646.0,117850.5,5232.5,8861.0,11486.0,207253.5,29923.5,23754.5,215198.0,4635.5,6715.5,781702.0,11843.5,4493.5,3518.5,15517.0,3249.5,3123.0,7469.0,13856.0,173235.0,46808.0,4592.0,104817.0,28886.5,2501.5,7455.0,78194.0,3803.5,3493.5,2285.5,450316.0,1803.5,15818.0,13661.5,6594.0,4788.0,21596.5,19015.5,10083.0,228255.5,5622.5,374901.0,115605.0,8726.5,34527.5,123472.5,13300.5,144241.5,52825.0,7799.0,28652.0,2364.0,17832.0,44421.5,324294.0,755949.0,142012.5,369209.0,229704.5,188740.0,1490859.5,127066.0,29821.0,9000.5,824008.5,745948.0,286127.5
1910,277000.5,564471.0,906989.5,628744.0,651756.5,259949.0,291222.5,147867.5,62174.0,27489.0,9341.0,20361.0,14503.0,36337.5,67764.0,15000.0,26776.5,7431.0,1405.0,52798.0,4886.0,205846.0,5159.5,561741.5,15078.0,34269.5,9741.0,8834.0,6740.5,8995.5,6415.0,93912.5,4860.5,7134.5,8796.5,172846.0,21958.0,26827.0,186780.5,3006.0,7415.0,648213.5,6338.5,3627.5,2518.5,10518.0,2223.5,2477.0,3444.0,10876.0,134599.0,28762.0,4248.0,63627.0,19931.5,1557.5,5744.5,74443.5,3985.0,4463.5,1322.5,372693.5,1131.5,10881.0,11252.0,3780.5,2803.0,15047.5,11975.0,5099.0,213656.5,4676.5,293051.0,79426.0,7938.5,32348.0,99190.5,11225.5,110297.0,36798.5,6000.0,32911.5,2096.5,13531.5,35415.0,272147.0,589086.5,119886.5,265683.0,186291.5,133309.0,1190435.5,103508.0,19787.5,5960.0,615634.5,596447.5,226527.5
1920,252978.5,519394.5,801887.5,590539.0,563068.5,233994.5,258882.5,132570.0,58410.0,27669.0,9341.5,18301.5,14289.0,32878.0,60709.5,12475.5,24162.5,6961.5,1447.5,46554.5,4693.5,191322.5,5237.5,544618.0,15571.5,36621.0,7940.0,8762.0,9367.0,9520.0,6310.5,130757.5,4574.5,6687.5,8790.0,164371.5,21581.0,25576.5,163923.5,2828.0,7681.0,598827.5,6133.5,3886.5,1944.5,10065.5,1799.5,1639.0,3862.0,9870.0,120915.0,25057.0,2524.0,57665.0,19282.0,1226.0,5390.0,65415.5,3808.5,4143.0,1186.5,270566.0,822.5,9606.0,8877.5,3507.0,3405.0,13736.0,9378.5,4963.5,181521.5,4973.5,260064.5,81742.5,6795.0,27718.0,92669.0,11914.5,104887.5,32753.5,6379.0,26222.0,2072.5,13322.0,35708.5,260372.0,531167.0,108118.5,249375.5,149584.5,111855.5,1137587.0,92704.5,19839.5,6323.0,506688.0,567457.5,209188.5
